id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers
8051,0.42,AGSL,SI2,L, ,62.7,NA,4.81x4.78x3.01,Excellent,Australia,Round,Excellent,57,1,NA
8052,0.4,GemEx,VS2,M, ,63.8,NA,4.64x4.61x2.95,Excellent,Australia,Round,Excellent,59,1,NA
8053,0.41,AGSL,SI2,L, ,62.2,TRUE,4.76x4.74x2.95,Excellent,DR Congo,Round,Very good,58,1,NA
8054,0.4,AGSL,SI1,K, ,64.2,FALSE,4.63x4.59x2.96,Very good,Angola,Emerald,Very good,58,1,NA
8055,0.4,AGSL,VS2,L, ,64.3,FALSE,4.67x4.62x2.99,Excellent,Russia,Round,Very good,NA,1,NA
8056,0.4,AGSL,SI2,K, ,59.8,NA,4.8x4.76x2.86,Very good,Russia,Emerald,Very good,61,1,NA
8057,0.4,AGSL,VS1,L, ,64,NA,4.69x4.62x2.98,Very good,Botswana,Emerald,Good,56,1,NA
8058,0.42,AGSL,VVS2,M, ,NA,NA,4.81x4.79x2.89,Very good,Russia,Round,Very good,NA,1,NA
8059,0.41,AGSL,SI1,K, ,61.3,FALSE,4.8x4.77x2.93,Very good,Australia,Round,Excellent,59,1,NA
8060,0.4,GemEx,SI1,K, ,62.7,FALSE,4.75x4.69x2.96,Good,Australia,Round,Very good,57,1,NA
8061,0.4,AGSL,VS2,K, ,63.1,NA,4.68x4.66x2.95,Very good,DR Congo,Emerald,Excellent,NA,1,NA
8062,0.4,AGSL,VS2,K, ,62.7,NA,4.71x4.68x2.94,Very good,Russia,Round,Very good,59,1,NA
8063,0.4,AGSL,VS1,K, ,64.8,NA,4.63x4.62x3,Very good,Australia,Round,Very good,58,1,NA
8064,0.4,GemEx,VVS2,L, ,NA,NA,4.69x4.65x3,Very good,Russia,Oval,Very good,54,1,NA
8065,0.41,AGSL,SI1,K, ,61.2,NA,4.83x4.81x2.95,Excellent,Zimbabwe,Round,Excellent,57,1,NA
8066,0.44,AGSL,VS2,L, ,62.3,NA,4.91x4.88x3.05,Very good,Russia,Round,Very good,56,1,NA
8067,0.43,AGSL,SI1,K, ,61.7,NA,4.82x4.81x2.97,Excellent,Russia,Round,Very good,NA,1,NA
8068,0.42,GemEx,SI1,K, ,61.8,NA,4.83x4.8x2.98,Excellent,Russia,Round,Excellent,NA,1,NA
8069,0.41,AGSL,VS2,K, ,60.3,NA,4.83x4.79x2.9,Excellent,Russia,Round,Excellent,NA,1,NA
8070,0.4,AGSL,SI1,J, ,63.6,NA,4.67x4.64x2.96,Excellent,Botswana,Round,Excellent,58,1,NA
8071,0.4,AGSL,SI1,J, ,62.9,NA,4.64x4.62x2.91,Very good,Zimbabwe,Round,Good,59,1,NA
8072,0.41,GemEx,VS1,K, ,62.4,FALSE,4.76x4.74x2.96,Excellent,Botswana,Round,Excellent,NA,1,NA
8073,0.4,AGSL,VS2,J, ,64.1,NA,4.64x4.6x2.96,Excellent,Russia,Round,Very good,59,1,NA
8074,0.4,NA,VVS1,K, ,61.7,NA,4.76x4.75x2.93,Very good,DR Congo,Oval,Excellent,58,1,NA
8075,0.4,AGSL,VVS1,K, ,60.2,FALSE,4.81x4.77x2.88,Excellent,Russia,Radiant,Very good,61,1,NA
8076,0.4,AGSL,VVS1,K, ,61.9,NA,4.76x4.74x2.94,Excellent,Zimbabwe,Emerald,Very good,NA,1,NA
8077,0.44,NA,VS2,K, ,62.5,NA,4.88x4.87x3.05,Excellent,Botswana,Round,Excellent,57,1,NA
8078,0.41,GemEx,SI2,H, ,64.1,NA,4.64x4.68x2.99, ,Canada,Round, ,57,1,NA
