id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Price,Retail,LogPrice,LogRetail
1,0.41,NA,SI1,L, ,65.4,FALSE,4.65x4.62x3.03,Very good,Other/Unknown,Princess,Good,NA,1,430,850,6.06378520868761,6.74523634948436
2,0.42,AGSL,SI2,L, ,61.7,FALSE,4.85x4.79x2.98,Excellent,Russia,Marquise,Very good,NA,1,560,920,6.32793678372919,6.82437367004309
3,0.4,AGSL,SI1,L, ,64,FALSE,4.66x4.63x2.97,Excellent,South Africa,Round,Excellent,57,1,560,575,6.32793678372919,6.35437004079735
4,0.41,AGSL,SI2,L, ,62.7,FALSE,4.71x4.69x2.95,Very good,Botswana,Round,Very good,58,1,560,825,6.32793678372919,6.71538338633468
5,0.4,AGSL,SI1,L, ,63,FALSE,4.71x4.68x2.96,Excellent,Botswana,Round,Very good,58,1,580,890,6.36302810354046,6.79122146272619
6,0.4,AGSL,VS2,M, ,59.9,FALSE,4.75x4.74x2.84,Very good,Botswana,Round,Very good,64,1,580,945,6.36302810354046,6.85118492749374
7,0.4,AGSL,VVS1,M, ,63.4,FALSE,4.68x4.65x2.95,Very good,South Africa,Round,Good,58,1,580,950,6.36302810354046,6.85646198459459
8,0.4,AGSL,VS2,M, ,62.4,FALSE,4.69x4.66x2.91,Excellent,Russia,Round,Very good,59,1,585,965,6.37161184723186,6.87212810133899
9,0.4,AGSL,SI1,L, ,NA,FALSE,4.77x4.75x2.93,Excellent,Botswana,Round,Very good,58,1,585,885,6.37161184723186,6.78558764500793
10,0.4,AGSL,SI1,L, ,62.9,FALSE,4.72x4.69x2.96,Excellent,Russia,Round,Very good,55,1,585,965,6.37161184723186,6.87212810133899
11,0.4,AGSL,VS2,L, ,62.9,FALSE,4.74x4.71x2.97,Excellent,Canada,Round,Excellent,NA,1,590,975,6.38012253689976,6.88243747099785
12,0.41,AGSL,VS2,L, ,62.1,FALSE,4.8x4.77x2.97,Excellent,DR Congo,Round,Very good,57,1,595,970,6.38856140554563,6.87729607149743
13,0.41,AGSL,SI2,K, ,NA,FALSE,4.76x4.73x2.94,Excellent,Botswana,Oval,Excellent,NA,1,595,970,6.38856140554563,6.87729607149743
14,0.4,AGSL,SI1,K, ,64.3,FALSE,4.67x4.63x2.99,Very good,Botswana,Round,Very good,55,1,600,840,6.39692965521615,6.73340189183736
15,0.4,AGSL,VS1,M, ,59.4,FALSE,4.81x4.78x2.85,Very good,Zimbabwe,Radiant,Very good,56,1,600,630,6.39692965521615,6.44571981938558
16,0.42,AGSL,SI1,L, ,NA,FALSE,4.83x4.82x2.98,Excellent,South Africa,Round,Very good,58,1,600,805,6.39692965521615,6.69084227741856
17,0.41,AGSL,SI1,L, ,62.7,FALSE,4.76x4.75x2.98,Very good,Canada,Round,Excellent,57,1,600,990,6.39692965521615,6.89770494312864
18,0.4,AGSL,SI1,K, ,62.8,FALSE,4.72x4.68x2.95,Very good,Russia,Round,Very good,58,1,600,990,6.39692965521615,6.89770494312864
19,0.42,GemEx,SI2,L, ,62.1,FALSE,4.82x4.8x2.99,Excellent,Botswana,Round,Excellent,57,2,605,955,6.40522845803084,6.86171134048073
20,0.4,GemEx,SI1,K, ,NA,FALSE,4.71x4.68x2.95,Very good,Angola,Princess,Excellent,58,1,605,1000,6.40522845803084,6.90775527898214
21,0.42,AGSL,VS2,K, ,NA,FALSE,4.81x4.79x2.99,Excellent,Botswana,Round,Excellent,NA,1,610,625,6.41345895716736,6.4377516497364
22,0.41,AGSL,SI2,K, ,62,FALSE,4.76x4.74x2.94,Excellent,Australia,Round,Excellent,NA,1,610,1005,6.41345895716736,6.91274282049318
23,0.4,AGSL,VS2,K, ,58.2,FALSE,4.87x4.84x2.83,Excellent,Botswana,Round,Excellent,64,1,610,1005,6.41345895716736,6.91274282049318
24,0.4,AGSL,SI2,K, ,60.8,FALSE,4.78x4.75x2.9,Excellent,Angola,Round,Very good,58,1,610,1005,6.41345895716736,6.91274282049318
25,0.42,AGSL,VS2,M, ,61.4,FALSE,4.84x4.82x2.97,Excellent,Botswana,Radiant,Very good,NA,1,615,925,6.42162226780652,6.82979373751242
26,0.41,AGSL,SI2,K, ,62.3,FALSE,4.75x4.73x2.95,Excellent,Russia,Emerald,Very good,57,1,615,420,6.42162226780652,6.04025471127741
27,0.42,AGSL,SI1,L, ,60.9,FALSE,4.85x4.83x2.95,Very good,Russia,Pear,Very good,59,1,615,1015,6.42162226780652,6.92264389147589
28,0.4,AGSL,SI1,K, ,62.2,FALSE,4.73x4.67x2.92,Excellent,DR Congo,Emerald,Very good,61,1,615,855,6.42162226780652,6.75110146893676
29,0.42,AGSL,SI2,K, ,62.7,FALSE,4.81x4.78x3.01,Very good,Canada,Radiant,Very good,57,1,615,1015,6.42162226780652,6.92264389147589
30,0.4,AGSL,VS1,L, ,64.4,FALSE,4.67x4.64x3,Excellent,Other/Unknown,Princess,Very good,56,1,620,1020,6.42971947803914,6.92755790627832
31,0.41,AGSL,SI2,K, ,61.1,FALSE,4.79x4.77x2.92,Very good,South Africa,Round,Excellent,59,1,625,965,6.4377516497364,6.87212810133899
32,0.41,AGSL,SI1,K, ,61.3,FALSE,4.8x4.77x2.93,Excellent,South Africa,Princess,Excellent,60,1,625,990,6.4377516497364,6.89770494312864
33,0.41,AGSL,VS1,M, ,NA,FALSE,4.78x4.75x2.95,Excellent,South Africa,Round,Very good,NA,1,625,895,6.4377516497364,6.79682371827486
34,0.4,AGSL,VS1,K, ,61.1,FALSE,4.74x4.72x2.89,Very good,DR Congo,Round,Very good,NA,1,625,815,6.4377516497364,6.70318811324086
35,0.41,AGSL,VS2,L, ,61.6,FALSE,4.79x4.77x2.94,Very good,Russia,Oval,Very good,56,1,625,1025,6.4377516497364,6.93244789157251
36,0.4,AGSL,VVS1,L, ,62.3,TRUE,4.69x4.64x2.9,Very good,Angola,Round,Very good,NA,1,630,115,6.44571981938558,4.74493212836325
37,0.4,AGSL,SI1,K, ,62.7,FALSE,4.72x4.63x2.93,Very good,Russia,Round,Good,56,1,635,1045,6.45362499889269,6.95177216439891
38,0.42,AGSL,SI1,L, ,61.8,FALSE,4.84x4.81x2.98,Excellent,Russia,Princess,Excellent,58,1,635,1045,6.45362499889269,6.95177216439891
39,0.42,AGSL,SI1,L, ,NA,FALSE,4.82x4.79x2.94,Good,Russia,Round,Very good,NA,1,635,1045,6.45362499889269,6.95177216439891
40,0.4,AGSL,VS2,K, ,63.1,FALSE,4.68x4.63x2.94,Excellent,South Africa,Princess,Very good,58,1,635,935,6.45362499889269,6.84054652928869
41,0.41,AGSL,VS1,L, ,61.3,FALSE,4.81x4.78x2.94,Excellent,Russia,Round,Very good,56,1,635,1045,6.45362499889269,6.95177216439891
42,0.4,AGSL,VVS2,L, ,63.4,FALSE,4.67x4.64x2.95,Very good,Russia,Round,Very good,58,1,635,1010,6.45362499889269,6.9177056098353
43,0.4,AGSL,VS2,L, ,62.2,FALSE,4.73x4.7x2.93,Very good,Russia,Round,Very good,57,1,635,1045,6.45362499889269,6.95177216439891
44,0.4,NA,VS2,K, ,NA,FALSE,4.69x4.68x2.86,Excellent,Australia,Round,Very good,NA,1,545,625,6.30078579466324,6.4377516497364
45,0.4,AGSL,SI1,K, ,62.6,FALSE,4.75x4.72x2.96,Excellent,Russia,Pear,Very good,56,1,640,1060,6.46146817635372,6.96602418710611
46,0.4,AGSL,SI1,K, ,NA,FALSE,4.79x4.77x2.93,Excellent,Russia,Round,Excellent,57,1,640,1060,6.46146817635372,6.96602418710611
47,0.4,AGSL,SI1,K, ,60.4,FALSE,4.81x4.78x2.9,Excellent,Australia,Princess,Excellent,59,1,640,1060,6.46146817635372,6.96602418710611
48,0.41,AGSL,VS2,L, ,60,FALSE,4.84x4.83x2.9,Excellent,Russia,Round,Excellent,60,1,640,1055,6.46146817635372,6.96129604591017
49,0.4,AGSL,VS1,L, ,62.9,FALSE,4.72x4.7x2.96,Excellent,Russia,Round,Very good,NA,1,645,1065,6.46925031679577,6.97073007814353
50,0.4,AGSL,VS1,L, ,NA,FALSE,4.7x4.67x2.93,Excellent,Russia,Princess,Very good,NA,1,645,1065,6.46925031679577,6.97073007814353
51,0.41,AGSL,SI1,K, ,62.1,FALSE,4.8x4.77x2.97,Excellent,Angola,Round,Excellent,NA,2,650,1070,6.47697236288968,6.97541392745595
52,0.41,AGSL,VS2,L, ,61.6,FALSE,4.76x4.73x2.92,Very good,Australia,Round,Excellent,58,1,650,1070,6.47697236288968,6.97541392745595
53,0.4,AGSL,VS2,K, ,62.4,FALSE,4.71x4.7x2.94,Very good,Russia,Asscher,Excellent,59,1,655,1080,6.48463523563525,6.98471632011827
54,0.4,GemEx,VS1,L, ,62,FALSE,4.75x4.72x2.94,Excellent,Russia,Round,Very good,57,1,655,1080,6.48463523563525,6.98471632011827
55,0.4,AGSL,VS1,K, ,62.9,FALSE,4.69x4.63x2.93,Very good,Russia,Round,Very good,60,1,655,1080,6.48463523563525,6.98471632011827
56,0.4,AGSL,VS2,K, ,60.6,FALSE,4.8x4.78x2.9,Very good,South Africa,Radiant,Excellent,NA,1,655,980,6.48463523563525,6.88755257166462
57,0.4,AGSL,VVS2,M, ,62.3,FALSE,4.75x4.72x2.95,Excellent,Australia,Round,Excellent,57,1,655,1080,6.48463523563525,6.98471632011827
58,0.4,AGSL,VVS1,L, ,61.7,FALSE,4.68x4.66x2.88,Very good,DR Congo,Round,Good,60,1,660,1040,6.49223983502047,6.94697599213542
59,0.41,AGSL,VS2,K, ,62.2,FALSE,4.76x4.73x2.95,Excellent,Australia,Round,Very good,NA,1,660,1090,6.49223983502047,6.99393297522319
60,0.43,AGSL,SI1,K, ,61.6,TRUE,4.87x4.85x2.99,Excellent,Angola,Round,Excellent,NA,1,660,95,6.49223983502047,4.55387689160054
61,0.4,AGSL,VS2,K, ,61.6,FALSE,4.78x4.73x2.93,Excellent,Canada,Round,Very good,NA,1,665,1095,6.49978704065585,6.9985096422506
62,0.41,AGSL,SI1,K, ,NA,FALSE,4.86x4.83x2.88,Very good,Russia,Radiant,Excellent,NA,1,665,1100,6.49978704065585,7.00306545878646
63,0.4,GemEx,VS2,K, ,61.1,FALSE,4.77x4.73x2.9,Excellent,Canada,Round,Very good,NA,1,665,1095,6.49978704065585,6.9985096422506
64,0.42,GemEx,SI1,K, ,NA,FALSE,4.83x4.8x3,Very good,Australia,Round,Excellent,NA,2,665,1005,6.49978704065585,6.91274282049318
65,0.4,AGSL,VVS2,L, ,63.1,FALSE,4.7x4.66x2.95,Very good,Botswana,Round,Excellent,57,1,665,1050,6.49978704065585,6.95654544315157
66,0.41,AGSL,VS2,L, ,61.7,FALSE,4.76x4.73x2.93,Excellent,South Africa,Emerald,Excellent,59,1,665,980,6.49978704065585,6.88755257166462
67,0.4,AGSL,VVS2,L, ,NA,FALSE,4.74x4.7x2.94,Very good,Botswana,Round,Excellent,57,1,665,1005,6.49978704065585,6.91274282049318
68,0.43,AGSL,VS2,L, ,60.9,FALSE,4.91x4.88x2.98,Very good,DR Congo,Round,Excellent,NA,1,670,990,6.50727771238501,6.89770494312864
69,0.41,AGSL,VS1,L, ,62.4,FALSE,4.76x4.71x2.95,Excellent,Botswana,Round,Good,55,1,670,1040,6.50727771238501,6.94697599213542
70,0.42,AGSL,SI1,K, ,61.6,FALSE,4.83x4.8x2.96,Excellent,Russia,Oval,Very good,59,1,675,1110,6.51471269087253,7.01211529430638
71,0.43,AGSL,SI2,K, ,62.6,TRUE,4.84x4.8x3.02,Excellent,Angola,Oval,Excellent,56,1,675,130,6.51471269087253,4.86753445045558
72,0.42,AGSL,VVS1,K, ,62.7,FALSE,4.8x4.78x3,Very good,Russia,Princess,Excellent,56,1,675,1035,6.51471269087253,6.94215670569947
73,0.4,AGSL,VS2,K, ,NA,TRUE,4.79x4.77x2.9,Very good,Angola,Round,Very good,56,1,680,115,6.52209279817015,4.74493212836325
74,0.4,AGSL,VVS1,L, ,NA,FALSE,4.71x4.66x2.92,Excellent,Canada,Round,Very good,NA,1,680,1120,6.52209279817015,7.02108396428914
75,0.43,AGSL,SI1,K, ,60.3,FALSE,4.92x4.89x2.96,Excellent,South Africa,Oval,Excellent,NA,1,680,1020,6.52209279817015,6.92755790627832
76,0.44,AGSL,VS1,M, ,NA,FALSE,4.92x4.89x3.02,Very good,South Africa,Round,Very good,NA,1,680,1100,6.52209279817015,7.00306545878646
77,0.4,NA,VS1,K, ,NA,FALSE,4.72x4.65x2.94,Very good,Botswana,Round,Very good,NA,1,550,850,6.30991827822652,6.74523634948436
78,0.4,AGSL,SI2,J, ,NA,FALSE,4.67x4.65x2.93,Excellent,Canada,Round,Very good,NA,1,685,1125,6.52941883826223,7.02553831463852
79,0.44,AGSL,VS2,L, ,NA,FALSE,4.94x4.9x2.98,Very good,DR Congo,Princess,Excellent,60,1,685,1065,6.52941883826223,6.97073007814353
80,0.4,AGSL,VVS1,K, ,62.6,FALSE,4.65x4.63x2.91,Excellent,South Africa,Emerald,Very good,NA,1,685,1120,6.52941883826223,7.02108396428914
81,0.42,GemEx,VS2,L, ,62.3,FALSE,4.79x4.77x2.98,Excellent,Canada,Round,Excellent,57,1,685,1125,6.52941883826223,7.02553831463852
82,0.4,AGSL,I1,F, ,62.1,FALSE,4.74x4.69x2.93,Very good,Canada,Round,Very good,NA,1,685,1130,6.52941883826223,7.02997291170639
83,0.4,AGSL,VVS2,K, ,62.1,FALSE,4.69x4.67x2.91,Very good,Angola,Round,Excellent,60,1,690,1065,6.5366915975913,6.97073007814353
84,0.43,AGSL,SI1,K, ,62.1,FALSE,4.86x4.83x3.01,Very good,Other/Unknown,Round,Excellent,57,1,690,1135,6.5366915975913,7.0343879299155
85,0.41,AGSL,VS2,K, ,61.7,FALSE,4.77x4.76x2.94,Very good,DR Congo,Princess,Very good,58,1,690,1070,6.5366915975913,6.97541392745595
86,0.42,AGSL,VS2,K, ,NA,FALSE,4.79x4.77x2.98,Excellent,Angola,Round,Excellent,NA,1,695,1150,6.54391184556479,7.0475172213573
